,City,Country,Long,Lat,date,type,value
83," Montreal, QC",Canada,-73.5673,45.5017,2020-02-11,currently ill,0
84," Montreal, QC",Canada,-73.5673,45.5017,2020-02-12,confirmed,0
85," Montreal, QC",Canada,-73.5673,45.5017,2020-02-12,died,0
86," Montreal, QC",Canada,-73.5673,45.5017,2020-02-12,recovered,0
87," Montreal, QC",Canada,-73.5673,45.5017,2020-02-12,currently ill,0
88," Montreal, QC",Canada,-73.5673,45.5017,2020-02-13,confirmed,0
89," Montreal, QC",Canada,-73.5673,45.5017,2020-02-13,died,0
90," Montreal, QC",Canada,-73.5673,45.5017,2020-02-13,recovered,0
91," Montreal, QC",Canada,-73.5673,45.5017,2020-02-13,currently ill,0
92," Montreal, QC",Canada,-73.5673,45.5017,2020-02-14,confirmed,0
93," Montreal, QC",Canada,-73.5673,45.5017,2020-02-14,died,0
94," Montreal, QC",Canada,-73.5673,45.5017,2020-02-14,recovered,0
95," Montreal, QC",Canada,-73.5673,45.5017,2020-02-14,currently ill,0
96," Montreal, QC",Canada,-73.5673,45.5017,2020-02-15,confirmed,0
97," Montreal, QC",Canada,-73.5673,45.5017,2020-02-15,died,0
98," Montreal, QC",Canada,-73.5673,45.5017,2020-02-15,recovered,0
99," Montreal, QC",Canada,-73.5673,45.5017,2020-02-15,currently ill,0
100," Montreal, QC",Canada,-73.5673,45.5017,2020-02-16,confirmed,0
101," Montreal, QC",Canada,-73.5673,45.5017,2020-02-16,died,0
102," Montreal, QC",Canada,-73.5673,45.5017,2020-02-16,recovered,0
103," Montreal, QC",Canada,-73.5673,45.5017,2020-02-16,currently ill,0
104," Montreal, QC",Canada,-73.5673,45.5017,2020-02-17,confirmed,0
105," Montreal, QC",Canada,-73.5673,45.5017,2020-02-17,died,0
106," Montreal, QC",Canada,-73.5673,45.5017,2020-02-17,recovered,0
107," Montreal, QC",Canada,-73.5673,45.5017,2020-02-17,currently ill,0
108," Montreal, QC",Canada,-73.5673,45.5017,2020-02-18,confirmed,0
109," Montreal, QC",Canada,-73.5673,45.5017,2020-02-18,died,0
110," Montreal, QC",Canada,-73.5673,45.5017,2020-02-18,recovered,0
111," Montreal, QC",Canada,-73.5673,45.5017,2020-02-18,currently ill,0
112," Montreal, QC",Canada,-73.5673,45.5017,2020-02-19,confirmed,0
113," Montreal, QC",Canada,-73.5673,45.5017,2020-02-19,died,0
114," Montreal, QC",Canada,-73.5673,45.5017,2020-02-19,recovered,0
115," Montreal, QC",Canada,-73.5673,45.5017,2020-02-19,currently ill,0
116," Montreal, QC",Canada,-73.5673,45.5017,2020-02-20,confirmed,0
117," Montreal, QC",Canada,-73.5673,45.5017,2020-02-20,died,0
118," Montreal, QC",Canada,-73.5673,45.5017,2020-02-20,recovered,0
119," Montreal, QC",Canada,-73.5673,45.5017,2020-02-20,currently ill,0
120," Montreal, QC",Canada,-73.5673,45.5017,2020-02-21,confirmed,0
121," Montreal, QC",Canada,-73.5673,45.5017,2020-02-21,died,0
122," Montreal, QC",Canada,-73.5673,45.5017,2020-02-21,recovered,0
123," Montreal, QC",Canada,-73.5673,45.5017,2020-02-21,currently ill,0
124," Montreal, QC",Canada,-73.5673,45.5017,2020-02-22,confirmed,0
125," Montreal, QC",Canada,-73.5673,45.5017,2020-02-22,died,0
